Time(S), note, event, xport, maxFrame, session, incoming_capacty, outgoing_window, incoming_bytes, outgoing_bytes, link, linkName, link_is_receiver, max_message_size, remote_max_message_size, current, credit, available, queued, unsettled
, 0 = pn_delivery_pending()
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:288 = pn_link_recv(size:288)
, address_receive: receiver blocked
7.298, EXIT , PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16060, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, address_receive: receiver blocked
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16060, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 32408, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, address_receive: receiver blocked
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 32408, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 48756, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, address_receive: receiver blocked
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 48756, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 65104, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, address_receive: receiver blocked
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 65104, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 81452, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, address_receive: receiver blocked
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 81452, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.299, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_send: entry
, address_send: something to send. size=65536
, address_send: pending:0 = pn_session_outgoing_bytes()
, address_send: sent:65536 = pn_link_send(size=65536)
, address_send: a->size reduced to: 0
, address_send: unblock receiver: pn_connection_wake()
7.299, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 65536, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
7.299, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, ENTER, PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: entry
, pending:81452 = pn_delivery_pending()
, address_receive: recv:65536 = pn_link_recv(size:65536)
, address_receive: receiver blocked
7.299, EXIT , PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_send: entry
, address_send: something to send. size=65536
, address_send: pending:0 = pn_session_outgoing_bytes()
, address_send: sent:65536 = pn_link_send(size=65536)
, address_send: a->size reduced to: 0
, address_send: unblock receiver: pn_connection_wake()
7.299, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 65536, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
7.299, ENTER, PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: entry
, pending:15916 = pn_delivery_pending()
7.299, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: recv:15916 = pn_link_recv(size:15916)
, 0 = pn_delivery_pending()
7.299, EXIT , PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_send: entry
, address_send: something to send. size=15916
, address_send: pending:0 = pn_session_outgoing_bytes()
, address_send: sent:15916 = pn_link_send(size=15916)
, address_send: a->size reduced to: 0
7.299, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 15916, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
7.299, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.299, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_send: entry
, address_send: sender blocked
7.299, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
, address_receive: unblock sender; pn_connection_wake()
7.358, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.358, ENTER, PN_CONNECTION_WAKE, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_send: entry
, address_send: something to send. size=16348
, address_send: pending:0 = pn_session_outgoing_bytes()
, address_send: sent:16348 = pn_link_send(size=16348)
, address_send: a->size reduced to: 0
7.358, EXIT , PN_CONNECTION_WAKE, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.358, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.358, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.358, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.358, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.358, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.358, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.358, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:144 = pn_link_recv(size:144)
, address_receive: receiver blocked
